,Unnamed: 0,pilot_code,user_in_role_id,detection_variable_type,detection_variable_name,zero_time,interval_start,interval_end,step,measure_value,Normalised,hidden_states
1512,1834,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/6/2017 1:00,4/7/2017 1:00,95,4863.0,0.366631484,0
1513,1835,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/7/2017 1:00,4/8/2017 1:00,96,7238.0,0.545687575,1
1514,1836,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/8/2017 1:00,4/9/2017 1:00,97,1618.0,0.12198431800000001,0
1515,1837,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/9/2017 1:00,4/10/2017 1:00,98,2478.0,0.186821472,0
1516,1838,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/10/2017 1:00,4/11/2017 1:00,99,2100.0,0.158323281,0
1517,1839,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/11/2017 1:00,4/12/2017 1:00,100,4781.0,0.36044933700000004,0
1518,1840,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/12/2017 1:00,4/13/2017 1:00,101,3061.0,0.23077503,0
1519,1841,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/13/2017 1:00,4/14/2017 1:00,102,4335.0,0.326824487,0
1520,1842,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/14/2017 1:00,4/15/2017 1:00,103,4190.0,0.315892642,0
1521,1843,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/15/2017 1:00,4/16/2017 1:00,104,259.0,0.019526538,0
1522,1844,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/16/2017 1:00,4/17/2017 1:00,105,0.0,0.0,2
1523,1845,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/17/2017 1:00,4/18/2017 1:00,106,1931.0,0.145582027,0
1524,1846,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/18/2017 1:00,4/19/2017 1:00,107,4307.0,0.32471351,0
1525,1847,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/19/2017 1:00,4/20/2017 1:00,108,4072.0,0.30699638100000004,0
1526,1848,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/20/2017 1:00,4/21/2017 1:00,109,4095.0,0.308730398,0
1527,1849,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/21/2017 1:00,4/22/2017 1:00,110,2807.0,0.211625452,0
1528,1850,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/22/2017 1:00,4/23/2017 1:00,111,1934.0,0.145808203,0
1529,1851,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/23/2017 1:00,4/24/2017 1:00,112,3207.0,0.241782268,0
1530,1852,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/24/2017 1:00,4/25/2017 1:00,113,3503.0,0.26409831100000003,0
1531,1853,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/25/2017 1:00,4/26/2017 1:00,114,2769.0,0.208760555,0
1532,1854,BHX,66,MEA,walk_distance,1/2/2017 1:00,4/26/2017 1:00,4/27/2017 1:00,115,3540.0,0.26688781699999997,0
